Name;Size;Type;Alignment;CR;XP;Arctic;Coastal;Desert;Forest;Grassland;Hill;Mountain;Swamp;Underdark;Underwater;Urban;Other Plane;source;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Adult Phoenix;Large;Monstrosity;Lawful Good;0    ;10    ;;;x;x;x;x;x;x;x;x;;;Monster a Day Compendium 2.0 162;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Adult Red Dragon;Huge;Dragon;Chaotic Evil;0    ;10    ;;;;;;;;;;;;;Monster Manual 98;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Adult Rime Worm;Large;Elemental;Neutral;0    ;10    ;x;;;;;;;;;;;;Tome of Beasts 327;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Adult Sapphire Dragon;Huge;Dragon;Lawful Neutral;0    ;10    ;;;;;;;;;;;;;Fizban's Treasury of Dragons 215;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Adult Sea Dragon;Huge;Dragon;Neutral Evil;0    ;10    ;;;;;;;;;;;;;Tome of Beasts 135;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Adult Silver Dragon;Huge;Dragon;Lawful Good;0    ;10    ;;;;;;;;;;;x;;Monster Manual 117;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Adult Topaz Dragon;Huge;Dragon;Chaotic Neutral;0    ;10    ;;x;;;;;;;;;;;Fizban's Treasury of Dragons 221;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Adult Void Dragon;Huge;Dragon;Chaotic Neutral;0    ;10    ;;;;;;;;;;;;x;Tome of Beasts 139;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Adult Wasteland Dragon;Huge;Dragon;Chaotic Evil;0    ;10    ;;;;;;;;;;;;;Creature Codex 119;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Adult White Dragon;Huge;Dragon;Chaotic Evil;0    ;10    ;x;;;;;;;;;;;;Monster Manual 101;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Adult Wind Dragon;Huge;Dragon;Chaotic Neutral;0    ;10    ;;;;;;;;;;;;;Tome of Beasts 143;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Aeorian Absorber;Large;Monstrosity;Neutral Evil;0    ;10    ;x;;;;;;;;;;;x;Explorer's Guide to Wildemount 283;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Aeorian Nullifier;Large;Monstrosity;Neutral Evil;0    ;10    ;x;;;;;;;;;;;x;Explorer's Guide to Wildemount 283;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Aeorian Reverser;Large;Monstrosity;Neutral Evil;0    ;10    ;x;;;;;;;;;;;x;Explorer's Guide to Wildemount 284;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Aerial Servant;Medium;Fiend;Neutral; 1/8;25    ;;;x;x;x;x;x;x;x;x;;;Fifth Edition Foes 7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Aerisi Kalinoth;Medium;Humanoid;Neutral Evil; 1/8;25    ;;;;;;;;;;;;;Princes of the Apocalypse 193;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Aerisi Kalinoth (with Lair Actions);Medium;Humanoid;Neutral Evil; 1/8;25    ;;;;;;;;;;;;;Princes of the Apocalypse 193;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Agdon Longscarf;Medium;Fey;Chaotic Evil; 1/8;25    ;;;;;;;;;;;;;The Wild Beyond The Witchlight 73;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Agnibarra;Small;Monstrosity;Chaotic Neutral; 1/8;25    ;;;;;;;;;;;;;Creature Codex 9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ahmaergo;Medium;Humanoid;Lawful Neutral; 1/8;25    ;;;;;;;;;;;x;;Waterdeep: Dragon Heist 193;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ahu-Nixta;Large;Aberration;Neutral Evil; 1/8;25    ;;;;;;;;;;;;x;Creature Codex 11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ahu-Nixta Cataphract;Large;Aberration;Neutral Evil; 1/8;25    ;;;;;;;;;;;;x;Tome of Beasts 2 9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ahu-Nixta Drudge;Medium;Aberration;Neutral Evil; 1/8;25    ;;;;;;;;;;;;x;Tome of Beasts 2 10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ahuizotl;Small;Monstrosity;Unaligned; 1/8;25    ;;x;;;;;;;;;;;Creature Codex 10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Air Elemental;Large;Elemental;Neutral; 1/8;25    ;;;x;x;x;x;x;x;x;x;;;Monster Manual 124;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Air Elemental Myrmidon;Medium;Elemental;Neutral; 1/8;25    ;;;;;;;;;;;;;Mordenkainen Presents: Monsters of the Multiverse 122;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Air Elemental Myrmidon;Medium;Elemental;Neutral; 1/8;25    ;;;x;x;x;x;x;x;x;x;;;Mordenkainen's Tome of Foes 202;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Akaasit;Medium;Construct;Unaligned; 1/8;25    ;;;;;;;;;;;;x;Tome of Beasts 2 11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Akhlut;Large;Beast;Unaligned; 1/8;25    ;x;x;;;;;;;;;;;Tome of Beasts 2 12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Akroan Hoplite;Medium;Humanoid;Any; 1/8;25    ;;;;;;;;;;;x;;Mythic Odysseys of Theros 228;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Al-Aeshma;Large;Elemental;Chaotic Evil; 1/8;25    ;;;x;x;x;x;x;x;x;x;;x;Tome of Beasts 211;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ala;Medium;Fey;Chaotic Evil; 1/8;25    ;;;;;;;;;;;;;Tome of Beasts 13;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Alabaster Tree;Huge;Celestial;Neutral Good; 1/8;25    ;x;x;x;x;x;x;x;x;x;x;x;x;Creature Codex 302;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Albino Death Weasel;Large;Beast;Unaligned; 1/8;25    ;;;;;;;;;;;;;Creature Codex 374;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Albino Dwarf Warrior;Medium;Humanoid;Any; 1/8;25    ;;;;;;;;;;;;;Tomb of Annihilation 210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Alchemical Apprentice;Small;Ooze;Unaligned; 1/8;25    ;;;;;;;;;;;x;;Creature Codex 281;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Alchemical Golem;Large;Construct;Unaligned; 1/8;25    ;x;x;x;x;x;x;x;x;x;x;x;x;Creature Codex 192;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Alchemical Skunk;Small;Monstrosity;Unaligned; 1/8;25    ;;;;;;;;;;;x;;Tome of Beasts 2 13;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Alchemist Archer;Medium;Humanoid;Any; 1/8;25    ;x;x;x;x;x;x;x;x;x;x;x;x;Creature Codex 141;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Aldani ;Medium;Monstrosity;Lawful Neutral; 1/8;25    ;;x;;;;;;;;;;;Tomb of Annihilation 210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Alehouse Drake;Tiny;Dragon;Chaotic Neutral; 1/8;25    ;;;;;;;;;;;x;;Tome of Beasts 148;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Algoid;Medium;Plant;Neutral; 1/8;25    ;;;;;;;;;;;;;Fifth Edition Foes 8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Algorith;Medium;Celestial;Lawful Neutral; 1/8;25    ;;;;;;;;;;;;x;Tome of Beasts 14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Alhoon;Medium;Undead;Neutral Evil; 1/8;25    ;;;;;;;;;;;;;Mordenkainen Presents: Monsters of the Multiverse 43;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Alhoon;Medium;Undead;Any Evil; 1/8;25    ;;;;;;;;;;;;;Volo's Guide to Monsters 172;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Alkilith;Medium;Fiend;Chaotic Evil; 1/8;25    ;;;;;;;;;;;x;;Mordenkainen Presents: Monsters of the Multiverse 44;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Alkilith;Medium;Fiend;Chaotic Evil; 1/8;25    ;;;;;;;;;;;x;x;Mordenkainen's Tome of Foes 130;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Alkonost;Small;Monstrosity;Neutral; 1/8;25    ;;x;;;;;;;;;;;Creature Codex 12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Alligator;Medium;Beast;Unaligned; 1/8;25    ;;;;;;;;;;;;;Tome of Beasts 2 387;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Alligator Turtle;Medium;Beast;Unaligned; 1/8;25    ;;;;;;;;;;;;;Tome of Beasts 2 387;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Allip;Medium;Undead;Neutral Evil; 1/8;25    ;;;;;;;;;;;x;;Mordenkainen Presents: Monsters of the Multiverse 45;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Allip;Medium;Undead;Neutral Evil; 1/8;25    ;;;;;;;;;;;x;;Mordenkainen's Tome of Foes 116;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Alliumite;Small;Plant;Chaotic Neutral; 1/8;25    ;;;;;;;;;;;;;Creature Codex 13;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Allosaurus;Large;Beast;Unaligned; 1/8;25    ;;;;;;;;;;;;;Monster Manual 79;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Almiraj;Small;Beast;Unaligned; 1/8;25    ;;;;;;;;;;;;;Tomb of Annihilation 211;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Alnaar;Large;Fiend;Chaotic Evil; 1/8;25    ;;;;;;;;;;;;x;Creature Codex 82;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Alp;Small;Fey;Chaotic Evil; 1/8;25    ;;;;;;;;;;;;;Creature Codex 14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Alpha Fish;Large;Beast;Unaligned; 1/8;25    ;;;;;;;;;;;;;Tome of Beasts 2 14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Alpha Yek;Medium;Fiend;Chaotic Evil; 1/8;25    ;x;x;x;x;x;x;x;x;x;x;x;x;Creature Codex 95;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Alseid;Medium;Fey;Chaotic Good; 1/8;25    ;;;;;;;;;;;;;Mythic Odysseys of Theros 235;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Alseid;Medium;Monstrosity;Chaotic Neutral; 1/8;25    ;;;;;;;;;;;;;Tome of Beasts 15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Alseid Grovekeeper;Medium;Monstrosity;Chaotic Neutral; 1/8;25    ;;;;;;;;;;;;;Tome of Beasts 15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Alsikaya, The Screeching Mother of Volcanoes;Huge;Fiend;Chaotic Evil; 1/8;25    ;;;;;;;;;;;;x;Tome of Beasts 2 85;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Altar Flame Golem;Large;Construct;Neutral; 1/8;25    ;;;;;;;;;;;x;;Creature Codex 193;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Alynn;Medium;Humanoid;Unaligned; 1/8;25    ;;;;;;;;;;;x;;Monster a Day Compendium 2.0 95;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Amber Ooze;Large;Ooze;Unaligned; 1/8;25    ;;;;;;;;;;;;;Tome of Beasts 2 277;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Amble;Medium;Humanoid;Neutral Good; 1/8;25    ;;;;;;;;;;;;;Locathah Rising 15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ambush Drake;Medium;Dragon;Unaligned; 1/8;25    ;;;;;;;;;;;;;Hoard of the Dragon Queen 88;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Amethyst Dragon Wyrmling;Medium;Dragon;Neutral; 1/8;25    ;;x;;;;;;;;;;;Fizban's Treasury of Dragons 162;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Amidor the Dandelion;Small;Plant;Neutral Good; 1/8;25    ;;;;;;;;;;;;;The Wild Beyond The Witchlight 135;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ammalia Cassalanter;Medium;Humanoid;Lawful Neutral; 1/8;25    ;;;;;;;;;;;x;;Waterdeep: Dragon Heist 193;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ammut;Large;Celestial;Neutral; 1/8;25    ;;;x;x;x;x;x;x;x;x;;;Creature Codex 15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Amnizu;Medium;Fiend;Lawful Evil; 1/8;25    ;;;;;;;;;;;;x;Mordenkainen Presents: Monsters of the Multiverse 46;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Amnizu;Medium;Fiend;Lawful Neutral; 1/8;25    ;;;;;;;;;;;;x;Mordenkainen's Tome of Foes 164;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Amphiptere;Medium;Beast;Unaligned; 1/8;25    ;;;;;;;;;;;;;Tome of Beasts 16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Amphisbaena;Medium;Monstrosity;Unaligned; 1/8;25    ;;;;;;;;;;;;;Mythic Odysseys of Theros 208;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Amphoron of Yothri Juggernaut;Large;Construct;Neutral; 1/8;25    ;x;x;x;x;x;x;x;x;x;x;x;;Fifth Edition Foes 10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Amphoron of Yothri Warrior;Medium;Construct;Neutral; 1/8;25    ;x;x;x;x;x;x;x;x;x;x;x;;Fifth Edition Foes 10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Amphoron of Yothri Worker;Small;Construct;Neutral; 1/8;25    ;x;x;x;x;x;x;x;x;x;x;x;;Fifth Edition Foes 9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Anarch;Small;Humanoid;Chaotic Neutral; 1/8;25    ;;;;;;;;;;;x;;Guildmaster's Guide to Ravnica 239;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ancient Amethyst Dragon;Gargantuan;Dragon;Neutral; 1/8;25    ;;x;;;;;;;;;;;Fizban's Treasury of Dragons 160;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ancient Black Dragon;Gargantuan;Dragon;Chaotic Evil; 1/8;25    ;;;;;;;;;;;;;Monster Manual 87;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ancient Blue Dragon;Gargantuan;Dragon;Lawful Neutral; 1/8;25    ;;x;x;x;x;x;x;x;x;x;;;Monster Manual 90;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
